duration_sec,error,from_cache,params,path,status,ts_utc
0.213,,False,"{""season"": 2026}",/teams,200,2026-02-22T02:50:52.021445+00:00
0.289,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Abilene Christian""}",/games,200,2026-02-22T02:50:52.467504+00:00
2.562,,False,"{""endDateRange"": ""2026-03-08"", ""season"": 2026, ""startDateRange"": ""2025-11-04"", ""team"": ""Abilene Christian""}",/lineups/team,200,2026-02-22T02:50:55.181962+00:00
0.275,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Air Force""}",/games,200,2026-02-22T02:50:55.649216+00:00
2.091,,False,"{""endDateRange"": ""2026-03-08"", ""season"": 2026, ""startDateRange"": ""2025-11-04"", ""team"": ""Air Force""}",/lineups/team,200,2026-02-22T02:50:57.892545+00:00
0.277,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Akron""}",/games,200,2026-02-22T02:50:58.351735+00:00
3.246,,False,"{""endDateRange"": ""2026-03-07"", ""season"": 2026, ""startDateRange"": ""2025-11-04"", ""team"": ""Akron""}",/lineups/team,200,2026-02-22T02:51:01.750271+00:00
0.331,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Alabama""}",/games,200,2026-02-22T02:51:02.264188+00:00
3.736,,False,"{""endDateRange"": ""2026-03-08"", ""season"": 2026, ""startDateRange"": ""2025-11-04"", ""team"": ""Alabama""}",/lineups/team,200,2026-02-22T02:51:06.152228+00:00
0.334,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Alabama A&M""}",/games,200,2026-02-22T02:51:06.686625+00:00
2.147,,False,"{""endDateRange"": ""2026-03-06"", ""season"": 2026, ""startDateRange"": ""2025-11-04"", ""team"": ""Alabama A&M""}",/lineups/team,200,2026-02-22T02:51:08.986135+00:00
0.293,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""Alabama State""}",/games,200,2026-02-22T02:51:09.470105+00:00
2.33,,False,"{""endDateRange"": ""2026-03-06"", ""season"": 2026, ""startDateRange"": ""2025-11-08"", ""team"": ""Alabama State""}",/lineups/team,200,2026-02-22T02:51:11.952223+00:00
0.328,,False,"{""season"": 2026, ""seasonType"": ""regular"", ""team"": ""UAlbany""}",/games,200,2026-02-22T02:51:12.459650+00:00
3.576,,False,"{""endDateRange"": ""2026-03-04"", ""season"": 2026, ""startDateRange"": ""2025-11-04"", ""team"": ""UAlbany""}",/lineups/team,200,2026-02-22T02:51:16.187644+00:00
