duration_sec,error,from_cache,params,path,status,ts_utc
0.134,,False,"{""season"": 2025}",/teams,200,2026-02-21T22:10:31.845154+00:00
0.318,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Abilene Christian""}",/games,200,2026-02-21T22:10:32.319862+00:00
3.787,,False,"{""endDateRange"": ""2025-03-14"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""Abilene Christian""}",/lineups/team,200,2026-02-21T22:10:36.259642+00:00
0.275,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Air Force""}",/games,200,2026-02-21T22:10:36.726559+00:00
2.457,,False,"{""endDateRange"": ""2025-03-12"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""Air Force""}",/lineups/team,200,2026-02-21T22:10:39.335569+00:00
0.261,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Akron""}",/games,200,2026-02-21T22:10:39.779574+00:00
3.853,,False,"{""endDateRange"": ""2025-03-15"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""Akron""}",/lineups/team,200,2026-02-21T22:10:43.785293+00:00
0.271,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Alabama""}",/games,200,2026-02-21T22:10:44.241097+00:00
3.707,,False,"{""endDateRange"": ""2025-03-15"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""Alabama""}",/lineups/team,200,2026-02-21T22:10:48.100487+00:00
0.301,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Alabama A&M""}",/games,200,2026-02-21T22:10:48.588168+00:00
3.833,,False,"{""endDateRange"": ""2025-03-11"", ""season"": 2025, ""startDateRange"": ""2024-11-07"", ""team"": ""Alabama A&M""}",/lineups/team,200,2026-02-21T22:10:52.573033+00:00
0.3,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Alabama State""}",/games,200,2026-02-21T22:10:53.103550+00:00
3.018,,False,"{""endDateRange"": ""2025-03-16"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""Alabama State""}",/lineups/team,200,2026-02-21T22:10:56.274369+00:00
0.282,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""UAlbany""}",/games,200,2026-02-21T22:10:56.738727+00:00
4.894,,False,"{""endDateRange"": ""2025-03-12"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""UAlbany""}",/lineups/team,200,2026-02-21T22:11:01.785582+00:00
0.539,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Alcorn State""}",/games,200,2026-02-21T22:11:02.509790+00:00
5.103,,False,"{""endDateRange"": ""2025-03-14"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""Alcorn State""}",/lineups/team,200,2026-02-21T22:11:07.765206+00:00
0.256,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""American University""}",/games,200,2026-02-21T22:11:08.232057+00:00
4.832,,False,"{""endDateRange"": ""2025-03-12"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""American University""}",/lineups/team,200,2026-02-21T22:11:13.216626+00:00
0.276,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""App State""}",/games,200,2026-02-21T22:11:13.682736+00:00
2.097,,False,"{""endDateRange"": ""2025-03-08"", ""season"": 2025, ""startDateRange"": ""2024-11-04"", ""team"": ""App State""}",/lineups/team,200,2026-02-21T22:11:15.931864+00:00
0.315,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Arizona""}",/games,200,2026-02-21T22:11:16.411357+00:00
2.856,,False,"{""endDateRange"": ""2025-03-15"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""Arizona""}",/lineups/team,200,2026-02-21T22:11:19.419949+00:00
0.302,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Arizona State""}",/games,200,2026-02-21T22:11:19.890560+00:00
2.382,,False,"{""endDateRange"": ""2025-03-11"", ""season"": 2025, ""startDateRange"": ""2024-11-06"", ""team"": ""Arizona State""}",/lineups/team,200,2026-02-21T22:11:22.424490+00:00
0.33,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Arkansas""}",/games,200,2026-02-21T22:11:22.919551+00:00
2.888,,False,"{""endDateRange"": ""2025-03-13"", ""season"": 2025, ""startDateRange"": ""2024-11-07"", ""team"": ""Arkansas""}",/lineups/team,200,2026-02-21T22:11:25.959802+00:00
0.317,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Arkansas-Pine Bluff""}",/games,200,2026-02-21T22:11:26.442174+00:00
2.717,,False,"{""endDateRange"": ""2025-03-08"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""Arkansas-Pine Bluff""}",/lineups/team,200,2026-02-21T22:11:29.311944+00:00
0.273,,False,"{""season"": 2025, ""seasonType"": ""regular"", ""team"": ""Arkansas State""}",/games,200,2026-02-21T22:11:29.781201+00:00
3.083,,False,"{""endDateRange"": ""2025-03-10"", ""season"": 2025, ""startDateRange"": ""2024-11-05"", ""team"": ""Arkansas State""}",/lineups/team,200,2026-02-21T22:11:33.017298+00:00
