conference,team_id,team_name
Big Ten,245,Rutgers
OVC,247,SIU Edwardsville
American,248,SMU
Big Sky,249,Sacramento State
NEC,250,Sacred Heart
NEC,278,St. Francis (PA)
A-10,251,Saint Joseph's
A-10,252,Saint Louis
WCC,253,Saint Mary's
MAAC,254,Saint Peter's
CUSA,255,Sam Houston
SoCon,256,Samford
WCC,258,San Diego
Mountain West,257,San Diego State
WCC,259,San Francisco
Mountain West,260,San José State
WCC,261,Santa Clara
WAC,262,Seattle U
Big East,263,Seton Hall
MAAC,264,Siena
Sun Belt,265,South Alabama
SEC,266,South Carolina
MEAC,267,South Carolina State
Summit,269,South Dakota
Summit,270,South Dakota State
American,271,South Florida
OVC,272,Southeast Missouri State
Southland,246,SE Louisiana
SWAC,274,Southern
MVC,273,Southern Illinois
OVC,365,Southern Indiana
Sun Belt,275,Southern Miss
WAC,276,Southern Utah
A-10,277,St. Bonaventure
Big East,279,St. John's
Pac-12,281,Stanford
WAC,282,Stephen F. Austin
ASUN,283,Stetson
NEC,284,Stonehill
CAA,285,Stony Brook
ACC,286,Syracuse
Big 12,287,TCU
WAC,288,Tarleton State
American,289,Temple
SEC,292,Tennessee
OVC,325,UT Martin
OVC,290,Tennessee State
OVC,291,Tennessee Tech
Big 12,295,Texas
SEC,293,Texas A&M
Southland,294,Texas A&M-Corpus Christi
SWAC,296,Texas Southern
Sun Belt,297,Texas State
Big 12,298,Texas Tech
SoCon,299,The Citadel
MAC,300,Toledo
CAA,301,Towson
Sun Belt,302,Troy
American,303,Tulane
American,304,Tulsa
American,305,UAB
Big West,307,UC Davis
Big West,308,UC Irvine
Big West,309,UC Riverside
Big West,310,UC San Diego
Big West,311,UC Santa Barbara
Big 12,312,UCF
Pac-12,313,UCLA
Am. East,317,UMBC
Summit,130,Kansas City
Am. East,318,UMass Lowell
Big South,319,UNC Asheville
SoCon,320,UNC Greensboro
CAA,321,UNC Wilmington
Mountain West,322,UNLV
Pac-12,323,USC
Big South,268,South Carolina Upstate
WAC,324,UT Arlington
WAC,326,UT Rio Grande Valley
CUSA,327,UTEP
American,328,UTSA
Pac-12,331,Utah
Mountain West,329,Utah State
WAC,330,Utah Tech
WAC,332,Utah Valley
A-10,333,VCU
SoCon,334,VMI
MVC,335,Valparaiso
SEC,336,Vanderbilt
Am. East,337,Vermont
Big East,338,Villanova
ACC,339,Virginia
ACC,340,Virginia Tech
NEC,341,Wagner
ACC,342,Wake Forest
Pac-12,343,Washington
Pac-12,344,Washington State
Big Sky,345,Weber State
Big 12,347,West Virginia
SoCon,348,Western Carolina
OVC,349,Western Illinois
CUSA,350,Western Kentucky
MAC,351,Western Michigan
American,352,Wichita State
CAA,353,William & Mary
Big South,354,Winthrop
Big Ten,355,Wisconsin
SoCon,356,Wofford
Horizon,357,Wright State
Mountain West,358,Wyoming
Big East,359,Xavier
Ivy,360,Yale
Horizon,361,Youngstown State
